a_mm,b_mm,White_Pos,Pwr_UV,Pwr_UV_Center,Uni_UV,Num_White,Total_Loss,Valid
6.25,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.63,2.44,0.432,4,735.5824,True
6.75,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.45,2.43,0.447,4,737.3869,True
6.0,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.64,2.43,0.428,4,737.905,True
1.5,8.65,"(6.5, 0.0) | (4.5, 4.6) | (-6.5, 0.0) | (-4.5, -4.6)",13.74,2.74,0.245,4,737.9159,True
3.0,8.15,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",14.12,2.79,0.327,4,739.9421,True
7.0,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.3,2.41,0.456,4,741.7332,True
5.75,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.6,2.42,0.427,4,742.3339,True
4.0,7.9,"(6.5, 0.0) | (5.7, 3.1) | (-6.5, 0.0) | (-5.7, -3.1)",13.65,2.66,0.389,4,744.0583,True
4.5,7.65,"(6.5, 0.0) | (5.9, 2.8) | (-6.5, 0.0) | (-5.9, -2.8)",13.58,2.63,0.417,4,747.3931,True
7.25,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.1,2.39,0.464,4,748.4281,True
1.25,8.65,"(6.5, 0.0) | (-4.5, 4.7) | (-6.5, 0.0) | (-4.5, -4.7)",13.85,2.77,0.238,4,748.4739,True
5.5,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.52,2.4,0.429,4,748.8376,True
3.75,7.9,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",13.98,2.74,0.379,4,750.5493,True
2.0,8.65,"(6.5, 0.0) | (4.8, 4.4) | (-6.5, 0.0) | (-4.8, -4.4)",13.48,2.67,0.262,4,756.8785,True
5.25,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.39,2.37,0.427,4,758.0363,True
7.5,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.87,2.36,0.462,4,758.4999,True
3.0,8.4,"(6.5, 0.0) | (5.2, 3.9) | (-6.5, 0.0) | (-5.2, -3.9)",13.42,2.63,0.32,4,761.2582,True
1.75,8.65,"(6.5, 0.0) | (4.6, 4.5) | (-6.5, 0.0) | (4.6, -4.5)",13.62,2.71,0.253,4,765.2383,True
4.25,7.9,"(6.5, 0.0) | (5.7, 3.1) | (-6.5, 0.0) | (-5.7, -3.1)",13.31,2.58,0.397,4,765.8743,True
3.75,8.15,"(6.5, 0.0) | (5.5, 3.4) | (-6.5, 0.0) | (-5.5, -3.4)",13.3,2.58,0.369,4,767.4576,True
6.5,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.11,2.33,0.422,4,769.3537,True
2.75,8.4,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",13.64,2.69,0.304,4,769.3655,True
6.75,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.03,2.33,0.429,4,770.1629,True
6.25,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.14,2.33,0.417,4,770.5537,True
5.0,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.22,2.33,0.412,4,770.9133,True
4.75,7.65,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",13.2,2.54,0.422,4,772.8437,True
7.0,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.9,2.32,0.439,4,772.9965,True
6.0,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.13,2.32,0.415,4,773.7406,True
3.5,8.15,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",13.59,2.66,0.357,4,774.1744,True
7.25,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.73,2.3,0.449,4,778.0409,True
5.75,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.08,2.3,0.416,4,778.8868,True
2.5,8.65,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",13.14,2.58,0.285,4,778.9437,True
1.5,8.9,"(6.5, 0.0) | (4.4, 4.8) | (-6.5, 0.0) | (-4.4, -4.8)",13.03,2.58,0.244,4,782.2968,True
7.5,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.53,2.27,0.458,4,785.2757,True
4.75,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",12.0,2.29,0.398,4,785.8165,True
5.5,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.98,2.28,0.419,4,785.9337,True
2.25,8.65,"(6.5, 0.0) | (-4.9, 4.3) | (-6.5, 0.0) | (-4.9, -4.3)",13.32,2.63,0.273,4,787.4597,True
4.5,7.9,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",12.95,2.49,0.404,4,788.8787,True
2.75,8.65,"(6.5, 0.0) | (-5.0, 4.1) | (-6.5, 0.0) | (5.0, -4.1)",12.95,2.53,0.299,4,791.3716,True
1.25,8.9,"(6.5, 0.0) | (-4.3, 4.8) | (-6.5, 0.0) | (-4.3, -4.8)",13.13,2.61,0.237,4,792.5174,True
5.25,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.83,2.25,0.414,4,795.9827,True
7.75,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.29,2.24,0.453,4,796.1959,True
3.25,8.4,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",13.18,2.57,0.335,4,799.4601,True
6.75,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.6,2.23,0.414,4,802.5051,True
6.5,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.65,2.23,0.408,4,802.7098,True
7.0,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.5,2.22,0.422,4,804.1659,True
3.0,8.65,"(6.5, 0.0) | (5.1, 4.0) | (-6.5, 0.0) | (-5.1, -4.0)",12.74,2.48,0.314,4,804.653,True
6.25,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.67,2.23,0.405,4,804.7835,True
7.25,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.36,2.21,0.433,4,807.7179,True
1.75,8.9,"(6.5, 0.0) | (-4.5, 4.7) | (-6.5, 0.0) | (-4.5, -4.7)",12.91,2.55,0.251,4,808.5467,True
6.0,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.64,2.21,0.404,4,808.7041,True
5.0,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.65,2.21,0.401,4,808.9716,True
3.75,8.4,"(6.5, 0.0) | (5.4, 3.6) | (-6.5, 0.0) | (-5.4, -3.6)",12.65,2.44,0.361,4,809.9485,True
2.25,8.9,"(6.5, 0.0) | (4.7, 4.4) | (-6.5, 0.0) | (-4.7, -4.4)",12.63,2.48,0.27,4,810.6721,True
4.75,7.9,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",12.59,2.41,0.409,4,812.8521,True
7.5,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.18,2.19,0.444,4,813.3316,True
4.0,8.15,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",12.99,2.51,0.379,4,813.5491,True
5.75,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.56,2.19,0.406,4,814.4162,True
3.5,8.4,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",12.92,2.51,0.349,4,816.3343,True
1.25,9.15,"(6.5, 0.0) | (-4.1, 5.0) | (-6.5, 0.0) | (4.1, -5.0)",12.44,2.46,0.237,4,817.7343,True
2.0,8.9,"(6.5, 0.0) | (4.6, 4.5) | (-6.5, 0.0) | (4.6, -4.5)",12.78,2.52,0.26,4,819.3328,True
7.75,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.98,2.16,0.454,4,820.969,True
2.5,8.9,"(6.5, 0.0) | (4.8, 4.4) | (-6.5, 0.0) | (-4.8, -4.4)",12.47,2.44,0.282,4,821.6617,True
5.5,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.45,2.17,0.41,4,821.9015,True
4.75,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.43,2.17,0.39,4,823.9267,True
4.0,8.4,"(6.5, 0.0) | (5.4, 3.6) | (-6.5, 0.0) | (-5.4, -3.6)",12.36,2.38,0.371,4,828.1338,True
8.0,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.74,2.13,0.445,4,832.6043,True
5.25,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.29,2.14,0.403,4,832.6382,True
4.25,8.15,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",12.67,2.44,0.387,4,834.1085,True
3.5,8.65,"(6.5, 0.0) | (5.2, 3.9) | (-6.5, 0.0) | (-5.2, -3.9)",12.27,2.37,0.343,4,834.2079,True
6.75,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.17,2.13,0.401,4,834.2535,True
7.0,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.09,2.13,0.408,4,834.9092,True
6.5,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.2,2.13,0.397,4,835.3404,True
7.25,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.98,2.12,0.417,4,837.3,True
6.25,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.19,2.12,0.395,4,838.1574,True
4.5,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.19,2.12,0.378,4,840.7627,True
3.25,8.65,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",12.51,2.43,0.329,4,840.888,True
7.5,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.83,2.1,0.429,4,841.4454,True
1.5,9.15,"(6.5, 0.0) | (4.2, 4.9) | (-6.5, 0.0) | (4.2, -4.9)",12.35,2.43,0.243,4,841.7509,True
6.0,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.15,2.11,0.396,4,842.6692,True
5.0,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.11,2.1,0.393,4,845.6212,True
3.0,8.9,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",12.09,2.34,0.309,4,846.1007,True
7.75,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.65,2.08,0.44,4,847.5026,True
5.75,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",11.06,2.09,0.399,4,848.8466,True
1.75,9.15,"(6.5, 0.0) | (-4.3, 4.8) | (-6.5, 0.0) | (-4.3, -4.8)",12.24,2.4,0.25,4,849.8958,True
3.75,8.65,"(6.5, 0.0) | (5.2, 3.9) | (-6.5, 0.0) | (-5.2, -3.9)",12.02,2.31,0.354,4,850.2321,True
2.25,9.15,"(6.5, 0.0) | (4.5, 4.6) | (-6.5, 0.0) | (-4.5, -4.6)",11.98,2.34,0.269,4,851.8393,True
2.75,8.9,"(6.5, 0.0) | (-4.9, 4.3) | (-6.5, 0.0) | (-4.9, -4.3)",12.29,2.39,0.295,4,853.5116,True
8.0,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.45,2.05,0.448,4,855.7591,True
4.5,8.15,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",12.34,2.36,0.393,4,856.6282,True
5.5,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.93,2.06,0.404,4,856.6554,True
1.25,9.4,"(6.5, 0.0) | (3.9, 5.1) | (-6.5, 0.0) | (-3.9, -5.1)",11.79,2.31,0.237,4,858.1777,True
3.25,8.9,"(6.5, 0.0) | (-5.0, 4.1) | (-6.5, 0.0) | (5.0, -4.1)",11.88,2.29,0.324,4,859.5189,True
2.0,9.15,"(6.5, 0.0) | (-4.5, 4.7) | (-6.5, 0.0) | (-4.5, -4.7)",12.12,2.37,0.259,4,860.259,True
4.75,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.89,2.06,0.382,4,860.5485,True
1.5,9.4,"(6.5, 0.0) | (4.0, 5.0) | (-6.5, 0.0) | (-4.0, -5.0)",11.7,2.29,0.243,4,864.8006,True
7.0,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.69,2.04,0.396,4,865.0707,True
6.75,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.74,2.04,0.39,4,865.2932,True
7.25,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.6,2.03,0.403,4,866.4658,True
6.5,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.76,2.04,0.387,4,867.1324,True
8.25,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.21,2.02,0.439,4,867.6202,True
5.25,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.77,2.03,0.395,4,867.9145,True
7.5,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.48,2.02,0.414,4,869.4704,True
6.25,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.73,2.03,0.387,4,870.5643,True
1.75,9.4,"(6.5, 0.0) | (-4.1, 5.0) | (-6.5, 0.0) | (4.1, -5.0)",11.6,2.27,0.25,4,872.3094,True
4.25,8.4,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",12.06,2.31,0.378,4,872.8963,True
3.5,8.9,"(6.5, 0.0) | (-5.0, 4.1) | (-6.5, 0.0) | (5.0, -4.1)",11.66,2.24,0.338,4,873.4135,True
2.75,9.15,"(6.5, 0.0) | (4.7, 4.4) | (-6.5, 0.0) | (-4.7, -4.4)",11.66,2.26,0.292,4,873.5371,True
7.75,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.33,2.0,0.426,4,874.0862,True
6.0,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.67,2.01,0.389,4,875.568,True
4.5,8.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.64,2.01,0.372,4,877.0189,True
8.0,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.14,1.98,0.438,4,880.4717,True
5.0,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.58,2.0,0.386,4,880.8591,True
2.5,9.15,"(6.5, 0.0) | (4.6, 4.5) | (-6.5, 0.0) | (4.6, -4.5)",11.82,2.3,0.28,4,881.052,True
5.75,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.57,1.99,0.393,4,882.0988,True
3.0,9.15,"(6.5, 0.0) | (4.8, 4.4) | (-6.5, 0.0) | (-4.8, -4.4)",11.47,2.21,0.305,4,885.5063,True
3.75,8.9,"(6.5, 0.0) | (5.1, 4.0) | (-6.5, 0.0) | (-5.1, -4.0)",11.42,2.18,0.349,4,889.0016,True
8.25,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.94,1.95,0.443,4,889.4237,True
5.5,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.43,1.96,0.395,4,890.5115,True
2.25,9.4,"(6.5, 0.0) | (4.4, 4.8) | (-6.5, 0.0) | (-4.4, -4.8)",11.36,2.21,0.268,4,890.8405,True
4.0,8.65,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",11.75,2.25,0.364,4,890.952,True
4.5,8.4,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",11.75,2.24,0.385,4,893.204,True
7.0,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.29,1.96,0.385,4,894.5545,True
4.25,9.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.37,1.97,0.362,4,895.0375,True
7.25,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.23,1.95,0.392,4,895.0776,True
6.75,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.32,1.95,0.381,4,895.5366,True
4.75,8.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.36,1.96,0.377,4,895.5703,True
1.25,9.65,"(6.5, 0.0) | (3.7, 5.2) | (-6.5, 0.0) | (-3.7, -5.2)",11.17,2.18,0.239,4,896.3651,True
7.5,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.13,1.94,0.401,4,897.1022,True
3.25,9.15,"(6.5, 0.0) | (4.8, 4.4) | (-6.5, 0.0) | (-4.8, -4.4)",11.28,2.17,0.32,4,897.4332,True
2.0,9.4,"(6.5, 0.0) | (4.2, 4.9) | (-6.5, 0.0) | (4.2, -4.9)",11.49,2.24,0.258,4,897.7884,True
6.5,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.32,1.95,0.38,4,898.0063,True
2.5,9.4,"(6.5, 0.0) | (4.4, 4.8) | (-6.5, 0.0) | (-4.4, -4.8)",11.21,2.17,0.278,4,899.8111,True
7.75,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.0,1.93,0.412,4,900.5926,True
8.5,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.71,1.92,0.435,4,901.2079,True
5.25,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.27,1.93,0.388,4,901.7875,True
6.25,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.28,1.94,0.38,4,901.9497,True
1.5,9.65,"(6.5, 0.0) | (3.8, 5.2) | (-6.5, 0.0) | (-3.8, -5.2)",11.09,2.16,0.244,4,902.7069,True
8.0,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.84,1.91,0.425,4,905.5738,True
6.0,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.2,1.92,0.383,4,907.3324,True
1.75,9.65,"(6.5, 0.0) | (3.9, 5.1) | (-6.5, 0.0) | (-3.9, -5.1)",11.0,2.14,0.251,4,909.8782,True
4.25,8.65,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",11.47,2.19,0.371,4,910.0488,True
4.5,9.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.12,1.91,0.368,4,911.6078,True
8.25,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.65,1.89,0.438,4,912.1666,True
5.75,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.09,1.9,0.389,4,914.0833,True
5.0,8.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",10.08,1.9,0.38,4,914.6384,True
2.0,9.65,"(6.5, 0.0) | (4.0, 5.0) | (-6.5, 0.0) | (-4.0, -5.0)",10.89,2.11,0.259,4,917.8505,True
8.5,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.45,1.86,0.438,4,921.7039,True
3.0,9.4,"(6.5, 0.0) | (4.5, 4.6) | (-6.5, 0.0) | (-4.5, -4.6)",10.89,2.09,0.303,4,921.8825,True
7.25,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.85,1.87,0.382,4,923.0412,True
5.5,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.95,1.87,0.388,4,923.0421,True
7.0,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.9,1.87,0.377,4,923.2729,True
7.5,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.78,1.87,0.389,4,924.2001,True
6.75,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.91,1.87,0.374,4,924.8941,True
3.75,9.15,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",10.85,2.07,0.345,4,925.7603,True
2.25,9.65,"(6.5, 0.0) | (-4.1, 5.0) | (-6.5, 0.0) | (4.1, -5.0)",10.77,2.08,0.268,4,926.5799,True
7.75,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.67,1.86,0.399,4,926.7352,True
4.0,8.9,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",11.17,2.13,0.358,4,927.549,True
6.5,7.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.89,1.86,0.374,4,927.8968,True
2.75,9.4,"(6.5, 0.0) | (-4.5, 4.7) | (-6.5, 0.0) | (-4.5, -4.7)",11.06,2.13,0.29,4,928.5454,True
4.75,9.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.86,1.86,0.373,4,928.9601,True
4.25,9.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.86,1.87,0.359,4,929.1124,True
8.0,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.53,1.84,0.411,4,930.6145,True
3.5,9.15,"(6.5, 0.0) | (-4.9, 4.3) | (-6.5, 0.0) | (-4.9, -4.3)",11.07,2.12,0.334,4,931.123,True
6.25,8.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.84,1.85,0.376,4,932.2443,True
1.25,9.9,"(6.5, 0.0) | (3.6, 5.4) | (-6.5, 0.0) | (-3.6, -5.4)",10.59,2.06,0.24,4,932.3864,True
8.75,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.22,1.83,0.432,4,933.3298,True
5.25,8.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.79,1.84,0.382,4,934.1691,True
8.25,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.37,1.82,0.425,4,935.8364,True
6.0,8.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.75,1.83,0.38,4,937.8844,True
1.5,9.9,"(6.5, 0.0) | (3.7, 5.3) | (-6.5, 0.0) | (-3.7, -5.3)",10.52,2.04,0.246,4,938.3822,True
4.0,9.15,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",10.61,2.02,0.354,4,940.6558,True
8.5,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.19,1.8,0.439,4,942.5442,True
4.25,8.9,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",10.91,2.07,0.366,4,944.3896,True
4.5,9.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.63,1.82,0.366,4,944.506,True
5.75,8.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.64,1.81,0.386,4,944.7608,True
1.75,9.9,"(6.5, 0.0) | (3.7, 5.2) | (-6.5, 0.0) | (-3.7, -5.2)",10.43,2.02,0.252,4,945.1914,True
3.5,9.4,"(6.5, 0.0) | (4.7, 4.4) | (-6.5, 0.0) | (-4.7, -4.4)",10.51,2.01,0.331,4,946.7226,True
5.0,9.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.6,1.8,0.376,4,946.8276,True
4.0,9.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.59,1.82,0.349,4,947.8118,True
7.25,7.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.48,1.8,0.374,4,950.2768,True
7.5,7.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.43,1.79,0.38,4,950.6859,True
7.0,7.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",9.51,1.79,0.37,4,951.1599,True
